일빵빵기초 (순발력),13,13
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
42,일빵빵 기초영어,30,30,30,회의를 하다,have a meeting,회의를 하다,3,have a meeting,2,,0
일빵빵기초 (110강),13,6
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
!int,!String,!String,!Int,!Int,!String,!String,!String,!Float,!String,!Float,!String,!Float
1,일빵빵 기초영어,110,110,381,내가 여기 와야 하기 때문에 너는 나를 기다려야해.,Since I have to come here you have to wait for me.,381_내가 여기 와야 하기 때문에 너는 나를 기다려야해,2,381_Since I have to come here you have to wait for me,,,0
2,일빵빵 기초영어,110,110,382,내가 여기 와야 하기 때문에 너는 나를 기다려야해(앞으로).,You have to wait for me since I have to come here.,382_내가 여기 와야 하기 때문에 너는 나를 기다려야해(앞으로),2,382_ You have to wait for me since I have to come here,,,0
3,일빵빵 기초영어,110,110,383,나는 돈이 없기 때문에 그표를 살 수 가 없어.,Sine I have no money I can't buy the ticket.,383_나는 돈이 없기 때문에 그표를 살 수 가 없어,2,383_Sine I have no money I can't buy the ticket,,,0
4,일빵빵 기초영어,110,110,384,내가 돈이 없기 때문에 그표를 살 수 가 없어(앞으로).,I can't buy the ticket since I have no money.,384_내가 돈이 없기 때문에 그표를 살 수 가 없어(앞으로),2,384_I can't buy the ticket since I have no money,,,0
5,일빵빵 기초영어,110,110,385,내가 바쁘기 때문에 그녀에게 전화를 할 수 가 없어.,Since I'm busy I can't call her.,385_내가 바쁘기 때문에 그녀에게 전화를 할 수 가 없어,2,385_Since I'm busy I can't call her,,,0
6,일빵빵 기초영어,110,110,386,내가 바쁘기 떄문에 그녀에게 전화를 할 수 가 없어 ( 앞으로).,I can't call her since I'm busy.,386_내가 바쁘기 떄문에 그녀에게 전화를 할 수 가 없어 ( 앞으로),2,386_I can't call her since I'm busy,,,0
